id;firstname;patronymic;lastname;phone;experience
1;empty;boohoo;come now;840-318-8914 x7298;6264.27
2;delirious deeply;near;boo indeed;(621) 344-4639;19162.39
3;humble furthermore acidic;forenenst;pinstripe patiently owlishly;573-233-0796;19701.6
4;woot;phooey;whose;(452) 463-0027 x3451;12730.71
5;truly nimble;till;reel opposite modulo;590.929.2495;2054.7
6;vivaciously;space;dental;(397) 728-0946 x285;26635.86
7;exhaust;whenever;bright overheard;877-610-2334 x7679;20579.23
8;ick uselessly;as scratch;yum rise summer;(388) 809-1544 x263;21824.86
9;splendid;vacantly phew near;untidy whether out;251.380.2859 x533;8226.05
10;someplace;gadzooks lovely oof;access reluctantly difficult;1-375-710-7449 x513;30553.82
